AgentID,Month,QAScore,CoachingFlag
1001,2024-07,57,True
1001,2024-08,65,True
1001,2024-09,69,True
1001,2024-10,62,True
1001,2024-11,62,True
1001,2024-12,53,True
1001,2025-01,64,True
1001,2025-02,53,True
1001,2025-03,64,True
1001,2025-04,65,True
1001,2025-05,55,True
1001,2025-06,53,True
1002,2024-07,75,False
1002,2024-08,73,True
1002,2024-09,84,False
1002,2024-10,77,False
1002,2024-11,84,False
1002,2024-12,80,False
1002,2025-01,74,True
1002,2025-02,72,True
1002,2025-03,78,False
1002,2025-04,75,False
1002,2025-05,86,False
1002,2025-06,76,False
1003,2024-07,88,False
1003,2024-08,88,False
1003,2024-09,88,False
1003,2024-10,77,False
1003,2024-11,77,False
1003,2024-12,79,False
1003,2025-01,84,False
1003,2025-02,80,False
1003,2025-03,77,False
1003,2025-04,87,False
1003,2025-05,78,False
1003,2025-06,88,False
1004,2024-07,50,True
1004,2024-08,50,True
1004,2024-09,50,True
1004,2024-10,50,True
1004,2024-11,51,True
1004,2024-12,50,True
1004,2025-01,50,True
1004,2025-02,50,True
1004,2025-03,50,True
1004,2025-04,50,True
1004,2025-05,51,True
1004,2025-06,50,True
1005,2024-07,66,True
1005,2024-08,78,False
1005,2024-09,60,True
1005,2024-10,75,False
1005,2024-11,65,True
1005,2024-12,79,False
1005,2025-01,66,True
1005,2025-02,67,True
1005,2025-03,75,False
1005,2025-04,64,True
1005,2025-05,74,True
1005,2025-06,72,True
1006,2024-07,64,True
1006,2024-08,82,False
1006,2024-09,67,True
1006,2024-10,66,True
1006,2024-11,73,True
1006,2024-12,72,True
1006,2025-01,64,True
1006,2025-02,72,True
1006,2025-03,65,True
1006,2025-04,67,True
1006,2025-05,73,True
1006,2025-06,66,True
1007,2024-07,50,True
1007,2024-08,50,True
1007,2024-09,50,True
1007,2024-10,50,True
1007,2024-11,50,True
1007,2024-12,50,True
1007,2025-01,50,True
1007,2025-02,50,True
1007,2025-03,50,True
1007,2025-04,50,True
1007,2025-05,50,True
1007,2025-06,50,True
1008,2024-07,50,True
1008,2024-08,50,True
1008,2024-09,50,True
1008,2024-10,50,True
1008,2024-11,50,True
1008,2024-12,50,True
1008,2025-01,50,True
1008,2025-02,50,True
1008,2025-03,50,True
1008,2025-04,50,True
1008,2025-05,50,True
1008,2025-06,50,True
1009,2024-07,68,True
1009,2024-08,75,False
1009,2024-09,77,False
1009,2024-10,61,True
1009,2024-11,64,True
1009,2024-12,65,True
1009,2025-01,70,True
1009,2025-02,77,False
1009,2025-03,73,True
1009,2025-04,59,True
1009,2025-05,76,False
1009,2025-06,59,True
1010,2024-07,68,True
1010,2024-08,74,True
1010,2024-09,62,True
1010,2024-10,73,True
1010,2024-11,68,True
1010,2024-12,80,False
1010,2025-01,61,True
1010,2025-02,61,True
1010,2025-03,63,True
1010,2025-04,70,True
1010,2025-05,63,True
1010,2025-06,72,True
1011,2024-07,63,True
1011,2024-08,61,True
1011,2024-09,62,True
1011,2024-10,61,True
1011,2024-11,65,True
1011,2024-12,56,True
1011,2025-01,65,True
1011,2025-02,69,True
1011,2025-03,57,True
1011,2025-04,67,True
1011,2025-05,65,True
1011,2025-06,60,True
1012,2024-07,81,False
1012,2024-08,71,True
1012,2024-09,76,False
1012,2024-10,66,True
1012,2024-11,71,True
1012,2024-12,73,True
1012,2025-01,66,True
1012,2025-02,72,True
1012,2025-03,67,True
1012,2025-04,79,False
1012,2025-05,76,False
1012,2025-06,78,False
1013,2024-07,52,True
1013,2024-08,55,True
1013,2024-09,50,True
1013,2024-10,51,True
1013,2024-11,54,True
1013,2024-12,59,True
1013,2025-01,52,True
1013,2025-02,50,True
1013,2025-03,50,True
1013,2025-04,55,True
1013,2025-05,57,True
1013,2025-06,56,True
1014,2024-07,58,True
1014,2024-08,60,True
1014,2024-09,61,True
1014,2024-10,66,True
1014,2024-11,64,True
1014,2024-12,50,True
1014,2025-01,51,True
1014,2025-02,62,True
1014,2025-03,60,True
1014,2025-04,64,True
1014,2025-05,66,True
1014,2025-06,67,True
1015,2024-07,86,False
1015,2024-08,88,False
1015,2024-09,100,False
1015,2024-10,93,False
1015,2024-11,98,False
1015,2024-12,88,False
1015,2025-01,88,False
1015,2025-02,99,False
1015,2025-03,89,False
1015,2025-04,87,False
1015,2025-05,87,False
1015,2025-06,81,False
1016,2024-07,52,True
1016,2024-08,50,True
1016,2024-09,50,True
1016,2024-10,51,True
1016,2024-11,54,True
1016,2024-12,50,True
1016,2025-01,50,True
1016,2025-02,51,True
1016,2025-03,50,True
1016,2025-04,51,True
1016,2025-05,50,True
1016,2025-06,50,True
1017,2024-07,83,False
1017,2024-08,100,False
1017,2024-09,99,False
1017,2024-10,84,False
1017,2024-11,83,False
1017,2024-12,87,False
1017,2025-01,95,False
1017,2025-02,96,False
1017,2025-03,87,False
1017,2025-04,97,False
1017,2025-05,99,False
1017,2025-06,91,False
1018,2024-07,68,True
1018,2024-08,80,False
1018,2024-09,69,True
1018,2024-10,62,True
1018,2024-11,80,False
1018,2024-12,72,True
1018,2025-01,78,False
1018,2025-02,74,True
1018,2025-03,75,False
1018,2025-04,80,False
1018,2025-05,62,True
1018,2025-06,80,False
1019,2024-07,50,True
1019,2024-08,50,True
1019,2024-09,50,True
1019,2024-10,50,True
1019,2024-11,50,True
1019,2024-12,50,True
1019,2025-01,50,True
1019,2025-02,50,True
1019,2025-03,50,True
1019,2025-04,50,True
1019,2025-05,50,True
1019,2025-06,50,True
1020,2024-07,74,True
1020,2024-08,73,True
1020,2024-09,86,False
1020,2024-10,81,False
1020,2024-11,77,False
1020,2024-12,73,True
1020,2025-01,77,False
1020,2025-02,84,False
1020,2025-03,81,False
1020,2025-04,75,False
1020,2025-05,71,True
1020,2025-06,69,True
1021,2024-07,66,True
1021,2024-08,79,False
1021,2024-09,66,True
1021,2024-10,68,True
1021,2024-11,71,True
1021,2024-12,69,True
1021,2025-01,67,True
1021,2025-02,73,True
1021,2025-03,78,False
1021,2025-04,66,True
1021,2025-05,74,True
